,Survived,Pclass,Age,SibSp,Parch,Fare,Cabin_number,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_Z,Embarked_C,Embarked_Q,Embarked_S
446,1,2,13.0,0,1,19.5,0,0,0,0,0,0,0,0,0,1,0,0,1
370,1,1,25.0,1,0,55.4417,50,0,0,0,0,1,0,0,0,0,1,0,0
62,0,1,45.0,1,0,83.475,83,0,0,1,0,0,0,0,0,0,0,0,1
421,0,3,21.0,0,0,7.7333,0,0,0,0,0,0,0,0,0,1,0,1,0
608,1,2,22.0,1,2,41.5792,0,0,0,0,0,0,0,0,0,1,1,0,0
406,0,3,51.0,0,0,7.75,0,0,0,0,0,0,0,0,0,1,0,0,1
165,1,3,9.0,0,2,20.525,0,0,0,0,0,0,0,0,0,1,0,0,1
276,0,3,45.0,0,0,7.75,0,0,0,0,0,0,0,0,0,1,0,0,1
688,0,3,18.0,0,0,7.7958,0,0,0,0,0,0,0,0,0,1,0,0,1
66,1,2,29.0,0,0,10.5,33,0,0,0,0,0,1,0,0,0,0,0,1
169,0,3,28.0,0,0,56.4958,0,0,0,0,0,0,0,0,0,1,0,0,1
873,0,3,47.0,0,0,9.0,0,0,0,0,0,0,0,0,0,1,0,0,1
569,1,3,32.0,0,0,7.8542,0,0,0,0,0,0,0,0,0,1,0,0,1
73,0,3,26.0,1,0,14.4542,0,0,0,0,0,0,0,0,0,1,1,0,0
447,1,1,34.0,0,0,26.55,0,0,0,0,0,0,0,0,0,1,0,0,1
551,0,2,27.0,0,0,26.0,0,0,0,0,0,0,0,0,0,1,0,0,1
177,0,1,50.0,0,0,28.7125,49,0,0,1,0,0,0,0,0,0,1,0,0
691,1,3,4.0,0,1,13.4167,0,0,0,0,0,0,0,0,0,1,1,0,0
771,0,3,48.0,0,0,7.8542,0,0,0,0,0,0,0,0,0,1,0,0,1
382,0,3,32.0,0,0,7.925,0,0,0,0,0,0,0,0,0,1,0,0,1
150,0,2,51.0,0,0,12.525,0,0,0,0,0,0,0,0,0,1,0,0,1
137,0,1,37.0,1,0,53.1,123,0,0,1,0,0,0,0,0,0,0,0,1
600,1,2,24.0,2,1,27.0,0,0,0,0,0,0,0,0,0,1,0,0,1
463,0,2,48.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
518,1,2,36.0,1,0,26.0,0,0,0,0,0,0,0,0,0,1,0,0,1
3,1,1,35.0,1,0,53.1,123,0,0,1,0,0,0,0,0,0,0,0,1
476,0,2,34.0,1,0,21.0,0,0,0,0,0,0,0,0,0,1,0,0,1
130,0,3,33.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,1,1,0,0
867,0,1,31.0,0,0,50.4958,24,1,0,0,0,0,0,0,0,0,0,0,1
841,0,2,16.0,0,0,10.5,0,0,0,0,0,0,0,0,0,1,0,0,1
398,0,2,23.0,0,0,10.5,0,0,0,0,0,0,0,0,0,1,0,0,1
70,0,2,32.0,0,0,10.5,0,0,0,0,0,0,0,0,0,1,0,0,1
20,0,2,35.0,0,0,26.0,0,0,0,0,0,0,0,0,0,1,0,0,1
323,1,2,22.0,1,1,29.0,0,0,0,0,0,0,0,0,0,1,0,0,1
184,1,3,4.0,0,2,22.025,0,0,0,0,0,0,0,0,0,1,0,0,1
68,1,3,17.0,4,2,7.925,0,0,0,0,0,0,0,0,0,1,0,0,1
810,0,3,26.0,0,0,7.8875,0,0,0,0,0,0,0,0,0,1,0,0,1
195,1,1,58.0,0,0,146.5208,80,0,1,0,0,0,0,0,0,0,1,0,0
484,1,1,25.0,1,0,91.0792,49,0,1,0,0,0,0,0,0,0,1,0,0
571,1,1,53.0,2,0,51.4792,101,0,0,1,0,0,0,0,0,0,0,0,1
350,0,3,23.0,0,0,9.225,0,0,0,0,0,0,0,0,0,1,0,0,1
252,0,1,62.0,0,0,26.55,87,0,0,1,0,0,0,0,0,0,0,0,1
297,0,1,2.0,1,2,151.55,22,0,0,1,0,0,0,0,0,0,0,0,1
881,0,3,33.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,1,0,0,1
635,1,2,28.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
759,1,1,33.0,0,0,86.5,77,0,1,0,0,0,0,0,0,0,0,0,1
39,1,3,14.0,1,0,11.2417,0,0,0,0,0,0,0,0,0,1,1,0,0
33,0,2,66.0,0,0,10.5,0,0,0,0,0,0,0,0,0,1,0,0,1
278,0,3,7.0,4,1,29.125,0,0,0,0,0,0,0,0,0,1,0,1,0
856,1,1,45.0,1,1,164.8667,0,0,0,0,0,0,0,0,0,1,0,0,1
147,0,3,9.0,2,2,34.375,0,0,0,0,0,0,0,0,0,1,0,0,1
327,1,2,36.0,0,0,13.0,0,0,0,0,1,0,0,0,0,0,0,0,1
146,1,3,27.0,0,0,7.7958,0,0,0,0,0,0,0,0,0,1,0,0,1
320,0,3,22.0,0,0,7.25,0,0,0,0,0,0,0,0,0,1,0,0,1
725,0,3,20.0,0,0,8.6625,0,0,0,0,0,0,0,0,0,1,0,0,1
35,0,1,42.0,1,0,52.0,0,0,0,0,0,0,0,0,0,1,0,0,1
645,1,1,48.0,1,0,76.7292,33,0,0,0,1,0,0,0,0,0,1,0,0
69,0,3,26.0,2,0,8.6625,0,0,0,0,0,0,0,0,0,1,0,0,1
628,0,3,26.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,1,0,0,1
400,1,3,39.0,0,0,7.925,0,0,0,0,0,0,0,0,0,1,0,0,1
249,0,2,54.0,1,0,26.0,0,0,0,0,0,0,0,0,0,1,0,0,1
823,1,3,27.0,0,1,12.475,121,0,0,0,0,1,0,0,0,0,0,0,1
508,0,3,28.0,0,0,22.525,0,0,0,0,0,0,0,0,0,1,0,0,1
521,0,3,22.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,1,0,0,1
434,0,1,50.0,1,0,55.9,44,0,0,0,0,1,0,0,0,0,0,0,1
803,1,3,0.42,0,1,8.5167,0,0,0,0,0,0,0,0,0,1,1,0,0
